[2024-07-17 22:03:41,147][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 099 loss 0.4521 accuracy 73.44
[2024-07-17 22:03:42,218][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:100 
[2024-07-17 22:03:44,110][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 100 loss 0.4864 accuracy 79.69
[2024-07-17 22:03:44,111][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:101 
[2024-07-17 22:03:45,972][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 101 loss 0.4848 accuracy 75.00
[2024-07-17 22:03:51,462][src.cue_accumulation.train_cue_accumulation][INFO] - eval  epoch 101 loss 0.4955 accuracy 75.98
[2024-07-17 22:03:52,687][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:102 
[2024-07-17 22:03:54,573][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 102 loss 0.6014 accuracy 68.75
[2024-07-17 22:03:54,574][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:103 
[2024-07-17 22:03:56,465][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 103 loss 0.4597 accuracy 78.12
[2024-07-17 22:03:56,466][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:104 
[2024-07-17 22:03:58,386][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 104 loss 0.4952 accuracy 71.88
[2024-07-17 22:03:58,387][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:105 
[2024-07-17 22:04:00,281][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 105 loss 0.4877 accuracy 81.25
[2024-07-17 22:04:01,128][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:106 
[2024-07-17 22:04:03,134][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 106 loss 0.4087 accuracy 84.38
[2024-07-17 22:04:03,135][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:107 
[2024-07-17 22:04:05,126][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 107 loss 0.5017 accuracy 70.31
[2024-07-17 22:04:05,127][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:108 
[2024-07-17 22:04:07,078][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 108 loss 0.4540 accuracy 76.56
[2024-07-17 22:04:07,081][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:109 
[2024-07-17 22:04:09,027][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 109 loss 0.4312 accuracy 79.69
[2024-07-17 22:04:09,765][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:110 
[2024-07-17 22:04:11,784][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 110 loss 0.4257 accuracy 84.38
[2024-07-17 22:04:11,784][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:111 
[2024-07-17 22:04:13,722][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 111 loss 0.3238 accuracy 85.94
[2024-07-17 22:04:13,723][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:112 
[2024-07-17 22:04:15,665][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 112 loss 0.2636 accuracy 93.75
[2024-07-17 22:04:15,666][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:113 
[2024-07-17 22:04:17,631][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 113 loss 0.4927 accuracy 73.44
[2024-07-17 22:04:18,222][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:114 
